Year ending,Revenue,Pre-tax profit,Production,Sales
31 July 2002,"€4,857m",€829m,"55,050","54,234"
31 July 2003,"€5,583m",€933m,"73,284","66,803"
31 July 2004,"€6,148m","€1,137m","81,531","76,827"
31 July 2005,"€6,574m","€1,238m","90,954","88,379"
31 July 2006,"€7,273m","€2,110m","102,602","96,794"
31 July 2007,"€7,368m","€5,857m","101,844","97,515"
31 July 2008,"€7,466m","€8,569m","105,162","98,652"
31 July 2009,€?m,"€−2,559m","76,739","75,238"
31 July 2010,€7.79b,N/A,"89,123","81,850"
31 December 2010,€9.23b,€1.67b,N/A,"97,273"
31 December 2011,€10.9b,€2.05b,"127,793","116,978"
31 December 2012,€13.9b,€2.44b,"151,999","143,096"
31 December 2013,€14.3b,€2.78b,"165,808","162,145"
31 December 2014,€17.2b,€3.06b,"203,097","187,208"
31 December 2015,€21.5b,€3.382b,"234,497","225,121"
31 December 2019,€28.5b,€4.05b,"274,463","280,800"
31 December 2020,€28.7b,€4.38b,"263,236","272,162"
31 December 2021,€33.1b,€5.73b,"300,081","301,915"
31 December 2022,€37.6b,€6.77b,"321,321","309,884"
